study_ID,author_first,year,extracted,Order,Family,species,species_OTL,resistance,origin,setting,life_stage,sex,mean_mass_g,lon,lat,trt_temp,Bd_strain,Bd,time_post_days,bio_hier,trait,response,trait_unit,sample_size,chi,F,t,df,corr_coeff,corr_corrected,Zr,Zr_v,Zr_sei,notes,title,ref
14,Young,2012,Table 5,Anura,Pelodryadidae,Litoria caerulea,Litoria caerulea,Sensitive,Wild,Lab,Adult,,59.8,,,21,Melbourne-L.lesueri-00-LB-1,,7,Tissue,Immune,Spleen ratio,,20,,,,,0,n,0,0.058823529,0.242535625,,,
14,Young,2012,Table 5,Anura,Pelodryadidae,Litoria infrafrenata,Litoria infrafrenata,Resilient,Wild,Lab,Adult,,66.9,,,21,Melbourne-L.lesueri-00-LB-1,,7,Tissue,Immune,Spleen ratio,,19,,,,,-0.07636654,n,-0.076515514,0.0625,0.25,,,
14,Young,2012,Table 5,Anura,Pelodryadidae,Litoria caerulea,Litoria caerulea,Sensitive,Wild,Lab,Adult,,59.8,,,21,Melbourne-L.lesueri-00-LB-1,,7,Cellular,Cardiovascular,Haemoglobin,d/bl,20,,,,,0.078811041,n,0.078974821,0.058823529,0.242535625,,,
14,Young,2012,Table 5,Anura,Pelodryadidae,Litoria caerulea,Litoria caerulea,Sensitive,Wild,Lab,Adult,,59.8,,,21,Melbourne-L.lesueri-00-LB-1,,7,Cellular,Cardiovascular,RBC,,20,,,,,-0.523548934,n,-0.581216348,0.058823529,0.242535625,,,
14,Young,2012,Table 5,Anura,Pelodryadidae,Litoria caerulea,Litoria caerulea,Sensitive,Wild,Lab,Adult,,59.8,,,21,Melbourne-L.lesueri-00-LB-1,,7,Cellular,Immune,Neutrophils,,20,,,,,-0.546437443,n,-0.613287969,0.058823529,0.242535625,,,
14,Young,2012,Table 5,Anura,Pelodryadidae,Litoria caerulea,Litoria caerulea,Sensitive,Wild,Lab,Adult,,59.8,,,21,Melbourne-L.lesueri-00-LB-1,,7,Cellular,Immune,Eosinophils,,20,,,,,-0.307339316,n,-0.317604524,0.058823529,0.242535625,,,
14,Young,2012,Table 5,Anura,Pelodryadidae,Litoria caerulea,Litoria caerulea,Sensitive,Wild,Lab,Adult,,59.8,,,21,Melbourne-L.lesueri-00-LB-1,,7,Cellular,Immune,Monocytes,,20,,,,,-0.398216087,n,-0.421527023,0.058823529,0.242535625,,,
14,Young,2012,Table 5,Anura,Pelodryadidae,Litoria caerulea,Litoria caerulea,Sensitive,Wild,Lab,Adult,,59.8,,,21,Melbourne-L.lesueri-00-LB-1,,7,Cellular,Immune,Lymphocytes,,20,,,,,-0.823556432,n,-1.167771428,0.058823529,0.242535625,,,
14,Young,2012,Table 5,Anura,Pelodryadidae,Litoria caerulea,Litoria caerulea,Sensitive,Wild,Lab,Adult,,59.8,,,21,Melbourne-L.lesueri-00-LB-1,,7,Cellular,Immune,White blood cells,,20,,,,,-0.810364383,n,-1.128089497,0.058823529,0.242535625,,,
14,Young,2012,Table 5,Anura,Pelodryadidae,Litoria infrafrenata,Litoria infrafrenata,Resilient,Wild,Lab,Adult,,66.9,,,21,Melbourne-L.lesueri-00-LB-1,,7,Cellular,Cardiovascular,Haemoglobin,d/bl,19,,,,,0.351855764,n,0.367560154,0.0625,0.25,,,
14,Young,2012,Table 5,Anura,Pelodryadidae,Litoria infrafrenata,Litoria infrafrenata,Resilient,Wild,Lab,Adult,,66.9,,,21,Melbourne-L.lesueri-00-LB-1,,7,Cellular,Cardiovascular,RBC,,19,,,,,0.139937138,n,0.140861458,0.0625,0.25,,,
14,Young,2012,Table 5,Anura,Pelodryadidae,Litoria infrafrenata,Litoria infrafrenata,Resilient,Wild,Lab,Adult,,66.9,,,21,Melbourne-L.lesueri-00-LB-1,,7,Cellular,Immune,Neutrophils,,19,,,,,0.276374425,n,0.28375238,0.0625,0.25,,,
14,Young,2012,Table 5,Anura,Pelodryadidae,Litoria infrafrenata,Litoria infrafrenata,Resilient,Wild,Lab,Adult,,66.9,,,21,Melbourne-L.lesueri-00-LB-1,,7,Cellular,Immune,Eosinophils,,19,,,,,0.249188807,n,0.254547726,0.0625,0.25,,,
14,Young,2012,Table 5,Anura,Pelodryadidae,Litoria infrafrenata,Litoria infrafrenata,Resilient,Wild,Lab,Adult,,66.9,,,21,Melbourne-L.lesueri-00-LB-1,,7,Cellular,Immune,Monocytes,,19,,,,,0.200347043,n,0.203094084,0.0625,0.25,,,
14,Young,2012,Table 5,Anura,Pelodryadidae,Litoria infrafrenata,Litoria infrafrenata,Resilient,Wild,Lab,Adult,,66.9,,,21,Melbourne-L.lesueri-00-LB-1,,7,Cellular,Immune,Lymphocytes,,19,,,,,-0.330525276,n,-0.343417839,0.0625,0.25,,,
14,Young,2012,Table 5,Anura,Pelodryadidae,Litoria infrafrenata,Litoria infrafrenata,Resilient,Wild,Lab,Adult,,66.9,,,21,Melbourne-L.lesueri-00-LB-1,,7,Cellular,Immune,White blood cells,,19,,,,,0.019910045,n,0.019912676,0.0625,0.25,,,
14,Young,2012,Table 5,Anura,Pelodryadidae,Litoria caerulea,Litoria caerulea,Sensitive,Wild,Lab,Adult,,59.8,,,21,Melbourne-L.lesueri-00-LB-1,,7,Cellular,Osmoregulation,Plasma glucose,mmol/l,20,,,,,0.506369684,n,0.557835481,0.058823529,0.242535625,,,
14,Young,2012,Table 5,Anura,Pelodryadidae,Litoria caerulea,Litoria caerulea,Sensitive,Wild,Lab,Adult,,59.8,,,21,Melbourne-L.lesueri-00-LB-1,,7,Cellular,Osmoregulation,Plasma calcium,mmol/l,20,,,,,-0.308907047,n,-0.319336709,0.058823529,0.242535625,,,
14,Young,2012,Table 5,Anura,Pelodryadidae,Litoria caerulea,Litoria caerulea,Sensitive,Wild,Lab,Adult,,59.8,,,21,Melbourne-L.lesueri-00-LB-1,,7,Cellular,Osmoregulation,Plasma potassium,mmol/l,20,,,,,0.123796892,n,0.124435195,0.058823529,0.242535625,,,
14,Young,2012,Table 5,Anura,Pelodryadidae,Litoria caerulea,Litoria caerulea,Sensitive,Wild,Lab,Adult,,59.8,,,21,Melbourne-L.lesueri-00-LB-1,,7,Cellular,Osmoregulation,Plasma sodium,mmol/l,20,,,,,-0.176061985,n,-0.177915766,0.058823529,0.242535625,,,
14,Young,2012,Table 5,Anura,Pelodryadidae,Litoria caerulea,Litoria caerulea,Sensitive,Wild,Lab,Adult,,59.8,,,21,Melbourne-L.lesueri-00-LB-1,,7,Cellular,Immune,Plasma protein,g/l,20,,,,,0.191601665,n,0.193999346,0.058823529,0.242535625,,,
14,Young,2012,Table 5,Anura,Pelodryadidae,Litoria infrafrenata,Litoria infrafrenata,Resilient,Wild,Lab,Adult,,66.9,,,21,Melbourne-L.lesueri-00-LB-1,,7,Cellular,Osmoregulation,Plasma glucose,mmol/l,19,,,,,-0.192193213,n,-0.19461351,0.0625,0.25,,,
14,Young,2012,Table 5,Anura,Pelodryadidae,Litoria infrafrenata,Litoria infrafrenata,Resilient,Wild,Lab,Adult,,66.9,,,21,Melbourne-L.lesueri-00-LB-1,,7,Cellular,Osmoregulation,Plasma calcium,mmol/l,19,,,,,0.193343726,n,0.195808426,0.0625,0.25,,,
14,Young,2012,Table 5,Anura,Pelodryadidae,Litoria infrafrenata,Litoria infrafrenata,Resilient,Wild,Lab,Adult,,66.9,,,21,Melbourne-L.lesueri-00-LB-1,,7,Cellular,Osmoregulation,Plasma potassium,mmol/l,19,,,,,0.339212607,n,0.353202485,0.0625,0.25,,,
14,Young,2012,Table 5,Anura,Pelodryadidae,Litoria infrafrenata,Litoria infrafrenata,Resilient,Wild,Lab,Adult,,66.9,,,21,Melbourne-L.lesueri-00-LB-1,,7,Cellular,Osmoregulation,Plasma sodium,mmol/l,19,,,,,0.339476461,n,0.353500677,0.0625,0.25,,,
14,Young,2012,Table 5,Anura,Pelodryadidae,Litoria infrafrenata,Litoria infrafrenata,Resilient,Wild,Lab,Adult,,66.9,,,21,Melbourne-L.lesueri-00-LB-1,,7,Cellular,Immune,Plasma protein,g/l,19,,,,,0.613429527,n,0.714401573,0.0625,0.25,,,
15,Rumschlag,2015,Table 2,Anura,Hylidae,Hyla chrysoscelis,Dryophytes chrysoscelis,Resilient,Wild,Lab,Juvenile,Juvenile,0.45,-84.770721,39.44567,23,JEL 423,,28,Organism,Body condition,Mass change,,21,,1.63,,3,-0.593339562,n,-0.682804457,0.055555556,0.23570226,,How Time of Exposure to the Amphibian Chytrid Fungus Affects Hyla chrysoscelis in the Presence of an Insecticide,https://meridian.allenpress.com/herpetologica/article-abstract/71/3/169/32881/How-Time-of-Exposure-to-the-Amphibian-Chytrid
16,Chatfield,2013,text,Anura,Ranidae,Lithobates pipiens,Rana pipiens,Tolerant,Lab,Lab,Adult,Male,,,,16,JEL 423,100,56,Organism,Body condition,Body condition,,20,,,0.121,18,-0.028508382,n,-0.028516109,0.058823529,0.242535625,,Fitness Consequences of Infection by Batrachochytrium dendrobatidis in Northern Leopard Frogs (Lithobates pipiens),https://link.springer.com/article/10.1007/s10393-013-0833-7#Sec2
16,Chatfield,2013,text,Anura,Ranidae,Lithobates pipiens,Rana pipiens,Tolerant,Lab,Lab,Adult,Male,,,,16,JEL 423,100,56,Organism,Locomotor capacity,Jumping acceleration,m/s2,20,,,1.512,18,-0.335700539,n,-0.34923907,0.058823529,0.242535625,,,
16,Chatfield,2013,text,Anura,Ranidae,Lithobates pipiens,Rana pipiens,Tolerant,Lab,Lab,Adult,Male,,,,16,JEL 423,100,56,Organism,Locomotor capacity,Jumping velocity,m/s,20,,,2.443,18,-0.499005478,n,-0.547980993,0.058823529,0.242535625,,,
16,Chatfield,2013,text,Anura,Ranidae,Lithobates pipiens,Rana pipiens,Tolerant,Lab,Lab,Adult,Male,,,,16,JEL 423,100,56,Tissue,Reproduction,Testes size,mm,20,,,2.33,18,0.481371054,n,0.524767319,0.058823529,0.242535625,,,
16,Chatfield,2013,text,Anura,Ranidae,Lithobates pipiens,Rana pipiens,Tolerant,Lab,Lab,Adult,Male,,,,16,JEL 423,100,56,Tissue,Reproduction,Spermatic cyst diameter,mm,20,,0.018,,11,0.040418935,n,0.040440968,0.058823529,0.242535625,,,
17,Siddons,2021,Fig 2,Anura,Hylidae,Hyla versicolor,Dryophytes versicolor,Resilient,Wild,Lab,Juvenile,Juvenile,0.44,-86.839085,40.484257,15,JSOH-1,,21,Organism,Thermoregulation,CTmin,,18,,,,,-0.907567547,y,-1.513553015,0.066666667,0.25819889,,Exposure to a fungal pathogen increases the critical thermal minimum of two frog species,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.7779
17,Siddons,2021,Fig 2,Anura,Ranidae,Lithobates palustris,Rana palustris,Resilient,Wild,Lab,Juvenile,Juvenile,0.75,,,15,JSOH-1,,21,Organism,Thermoregulation,CTmin,,18,,,,,-0.904597575,y,-1.496961011,0.066666667,0.25819889,,,
18,Campbell,2019,,Anura,Pelodryadidae,Litoria aurea,Litoria aurea,Sensitive,Lab,Lab,Juvenile,Juvenile,,151.728685,?32.862911,12,Gibbo River-Llesueuri-00-LB-1,1000000,41,Organism,Energy metabolism,RMR,ml/h/g,16,,,,,0.518518519,n,0.574311355,0.076923077,0.277350098,,Interaction between temperature and sublethal infection with the amphibian chytrid fungus impacts a susceptible frog species,https://www.nature.com/articles/s41598-018-35874-7
18,Campbell,2019,,Anura,Pelodryadidae,Litoria aurea,Litoria aurea,Sensitive,Lab,Lab,Juvenile,Juvenile,,,,24,Gibbo River-Llesueuri-00-LB-1,10,41,Organism,Energy metabolism,RMR,ml/h/g,16,,,,,0.601884665,n,0.69609719,0.076923077,0.277350098,,,
18,Campbell,2019,,Anura,Pelodryadidae,Litoria aurea,Litoria aurea,Sensitive,Lab,Lab,Juvenile,Juvenile,,,,12,Gibbo River-Llesueuri-00-LB-1,1000000,48,Organism,Body condition,Fat mass,g,16,,,,,-0.677151076,n,-0.823833679,0.076923077,0.277350098,,,
18,Campbell,2019,,Anura,Pelodryadidae,Litoria aurea,Litoria aurea,Sensitive,Lab,Lab,Juvenile,Juvenile,,,,24,Gibbo River-Llesueuri-00-LB-1,10,48,Organism,Body condition,Fat mass,g,16,,,,,-0.24000768,n,-0.244782262,0.076923077,0.277350098,,,
18,Campbell,2019,text,Anura,Pelodryadidae,Litoria aurea,Litoria aurea,Sensitive,Lab,Lab,Adult,Female,,,,20,Gibbo River-Llesueuri-00-LB-1,,95,Organism,Body condition,Body size,g,84,,0.36,,80,-0.040216661,n,-0.040238364,0.012345679,0.111111111,,,
18,Campbell,2019,text,Anura,Pelodryadidae,Litoria aurea,Litoria aurea,Sensitive,Lab,Lab,Adult,Male,,,,20,Gibbo River-Llesueuri-00-LB-1,,95,Organism,Body condition,Body size,g,84,,0.6,,80,-0.066931612,n,-0.067031829,0.012345679,0.111111111,,,
18,Campbell,2019,text,Anura,Pelodryadidae,Litoria aurea,Litoria aurea,Sensitive,Lab,Lab,Adult,Female,,,,20,Gibbo River-Llesueuri-00-LB-1,,95,Organism,Reproduction,Ovary mass,g,84,,3.71,,80,-0.383138341,n,-0.403732787,0.012345679,0.111111111,,,
18,Campbell,2019,text,Anura,Pelodryadidae,Litoria aurea,Litoria aurea,Sensitive,Lab,Lab,Adult,Male,,,,20,Gibbo River-Llesueuri-00-LB-1,,95,Organism,Reproduction,Testes size,g,84,,14.35,,80,-0.848648279,n,-1.251301792,0.012345679,0.111111111,,,
