study_ID,author_first,year,extracted,order,family,species,species_OTL,resistance,origin,setting,life_stage,sex,mass_g,lon,lat,trt_temp,exposed,strain,genotype,strain_name,dose_ZE_ml,Bd,time_post_days,bio_hier,trait,response,trait_unit,trait_value,notes,title,ref
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,5.68,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,88,Tissue,Reproduction,Ovary area,mm,25.48,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,3.02,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,89,Tissue,Reproduction,Ovary area,mm,7.364,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,1.7,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,57869,33,Tissue,Reproduction,Ovary area,mm,2.68,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,3.58,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,89662,45,Tissue,Reproduction,Ovary area,mm,7.811,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,2.03,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,132004,39,Tissue,Reproduction,Ovary area,mm,3.702,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,2.27,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,469253,36,Tissue,Reproduction,Ovary area,mm,5.168,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,3.59,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,6211433,30,Tissue,Reproduction,Ovary area,mm,18.18,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,4.31,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,87,Tissue,Reproduction,Ovary area,mm,16.46,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,6.63,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,88,Tissue,Reproduction,Ovary area,mm,49.309,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,4.16,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,89,Tissue,Reproduction,Ovary area,mm,24.036,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,5.43,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,81655,28,Tissue,Reproduction,Ovary area,mm,35.283,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,5.37,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,100204,28,Tissue,Reproduction,Ovary area,mm,16.09,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,3.02,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,168290,30,Tissue,Reproduction,Ovary area,mm,1.759,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,4.01,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,339465,30,Tissue,Reproduction,Ovary area,mm,15.383,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,5.78,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,446404,28,Tissue,Reproduction,Ovary area,mm,17.109,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,4.41,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,707072,32,Tissue,Reproduction,Ovary area,mm,13.537,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,2.88,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,1254565,28,Tissue,Reproduction,Ovary area,mm,2.782,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,4.09,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,1662160,29,Tissue,Reproduction,Ovary area,mm,10.395,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,3.54,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,87,Tissue,Reproduction,Ovary area,mm,18.475,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,3.32,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,87,Tissue,Reproduction,Ovary area,mm,3.847,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,4.27,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,88,Tissue,Reproduction,Ovary area,mm,2.62,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,5.19,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,89,Tissue,Reproduction,Ovary area,mm,28.212,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,6.7,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,119857,46,Tissue,Reproduction,Ovary area,mm,18.201,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,4.28,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,147473,48,Tissue,Reproduction,Ovary area,mm,1.055,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,4.11,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,1366742,42,Tissue,Reproduction,Ovary area,mm,42.736,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,6.96,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,86,Tissue,Reproduction,Ovary area,mm,26.125,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,5.46,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,87,Tissue,Reproduction,Ovary area,mm,17.941,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,6.41,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,87,Tissue,Reproduction,Ovary area,mm,9.356,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,4.67,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,89,Tissue,Reproduction,Ovary area,mm,11.281,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,4.43,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,562288,23,Tissue,Reproduction,Ovary area,mm,4.568,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,3.65,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,620529,28,Tissue,Reproduction,Ovary area,mm,22.848,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,2.18,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,692329,29,Tissue,Reproduction,Ovary area,mm,3.269,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,3.63,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,760892,24,Tissue,Reproduction,Ovary area,mm,1.564,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,3.61,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,830377,30,Tissue,Reproduction,Ovary area,mm,17.55,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,4.73,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,87,Tissue,Reproduction,Ovary area,mm,10.125,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,5.06,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,87,Tissue,Reproduction,Ovary area,mm,19.216,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,4,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,88,Tissue,Reproduction,Ovary area,mm,40.84,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,5.68,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,88,Tissue,Reproduction,Ovary area,mm,26.822,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,3.02,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,89,Tissue,Reproduction,Ovary area,mm,11.173,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,1.7,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,57869,33,Tissue,Reproduction,Ovary area,mm,3.986,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,3.58,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,89662,45,Tissue,Reproduction,Ovary area,mm,14.155,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,2.03,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,132004,39,Tissue,Reproduction,Ovary area,mm,3.688,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,2.27,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,469253,36,Tissue,Reproduction,Ovary area,mm,5.534,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,3.59,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,6211433,30,Tissue,Reproduction,Ovary area,mm,19.686,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,4.31,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,87,Tissue,Reproduction,Ovary area,mm,18.175,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,6.63,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,88,Tissue,Reproduction,Ovary area,mm,56.806,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,4.16,,,19,0,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,0,0,89,Tissue,Reproduction,Ovary area,mm,22.545,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,5.43,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,81655,28,Tissue,Reproduction,Ovary area,mm,45.119,,,
1,Brannelly,2021,Raw data,Anura,Pelodryadidae,Litoria verreauxii alpina,Litoria verreauxii,Sensitive,Wild,Lab,Adult,Female,5.37,,,19,1,GPL,LBAbercrom,AbercrombieR-L.booroologensis-2009-LB1,30000,100204,28,Tissue,Reproduction,Ovary area,mm,17.427,,,
